Name;Ind Sect;Net Debt LF;Tot Eqty LF;DebtToEquity;ROE LF;P/E;EBITDA to Net Sales:Q;FCF T12M;Revenue T12M;Gr PoP of Revenue:CQ T12M;MSCI ESG Rtg;Dvd Ind Yld;PE/G Pl Yld;Inv Turnover LF;Curr Ratio LF;P/S;ROIC LF;P/B;Annualized Net Interest Margin;Effic Ratio LF;R&D Exp T12M;FCF Yld;Gr PoP of FFO:CQ T12M;Ocpncy Rt;ROA LF;Ast TO LF;;;
MONDELEZ INTERNATIONAL INC-A;Consumer Staples;18908000256;27890999296;0,677924805;;20,8292;16,1669;3696000000;36151000064;2,1301;A;2,8896;2,687;5,4803;0,6264;;;;;;;;;;;;;;
MONSTER BEVERAGE CORP;Consumer Staples;-817067008;5779400192;-0,141375745;;35,1917;26,7899;1617160000;7410776064;7,0481;BB;;;4,1428;3,1304;;;;;;;;;;;;;;
PEPSICO INC;Consumer Staples;36963000320;19605000192;1,885386379;;20,3825;19,7736;6200999936;91919998976;0,477;AA;3,3309;2,1511;7,438;0,8858;;;;;;;;;;;;;;
PHILIP MORRIS INTERNATIONAL;Consumer Staples;44963999744;-7712999936;-5,829638288;;20,1587;41,8928;10040000256;37219000320;8,5767;BBB;4,0965;1,4418;1,4072;0,89;;;;;;;;;;;;;;
PROCTER & GAMBLE CO/THE;Consumer Staples;23996999680;52140998656;0,460232836;;24,5734;30,0179;15852999936;83905001472;0,7686;A;2,2446;2,5668;5,6608;0,7537;;;;;;;;;;;;;;
SYSCO CORP;Consumer Staples;12677000192;2236000000;5,669499191;;17,8265;5,0918;2172212000;79707439104;2,6369;A;2,6614;1,85;13,4847;1,2634;;;;;;;;;;;;;;
TARGET CORP;Consumer Staples;16312999936;14488999936;1,125888606;;13,4455;8,0996;4545000128;1,0757E+11;0,3854;AA;3,4438;0,9275;5,1529;0,9432;;;;;;;;;;;;;;
THE CAMPBELL'S COMPANY;Consumer Staples;7433999872;3796000000;1,958377205;;14,8708;9,5072;668000000;9636000000;0,5771;AA;3,2125;1,6667;4,9795;0,6124;;;;;;;;;;;;;;
TYSON FOODS INC-CL A;Consumer Staples;8764000256;18513999872;0,47337152;;21,592;6,2145;1458000000;53308999680;0,399;BBB;3,1032;0,981;9,4426;2,037;;;;;;;;;;;;;;
WALGREENS BOOTS ALLIANCE INC;Consumer Staples;30734000128;12179000320;2,523524043;;0,9453;1,1612;-363000000;1,47657E+11;2,1951;A;11,0375;;14,6145;0,6803;;;;;;;;;;;;;;
WALMART INC;Consumer Staples;51699998720;94464999424;0,547292638;;37,6761;5,8778;17002000448;6,73819E+11;3,9644;BBB;0,9034;3,7214;7,9748;0,8477;;;;;;;;;;;;;;
AMAZON.COM INC;Consumer Discretionary;10382000128;-3430000128;-3,026822082;;40,6945;23,0206;1806000000;11000000000;9,2354;A;0,2396;3,1645;;0,7956;5,7033;;;;;;;;;;;;;
APTIV PLC;Consumer Discretionary;311492992;11564213248;0,026935943;;9,8648;20,6948;1282897008;17318808576;2,8032;AA;0,6445;1,1523;1,0074;4,3545;1,6596;;;;;;;;;;;;;
AUTOZONE INC;Consumer Discretionary;21137999872;7224000000;2,926079717;;20,6875;42,7957;-357362048;16055000320;21,882;BBB;0,6622;0,6327;33,5188;0,1901;3,8916;;;;;;;;;;;;;
BEST BUY CO INC;Consumer Discretionary;-10165000192;74162003968;-0,137064799;;5,6096;13,3786;8343000064;1,82719E+11;6,2505;BBB;0,8649;0,2918;8,4544;1,209;0,3555;;;;;;;;;;;;;
BORGWARNER INC;Consumer Discretionary;14067999744;-2420999936;-5,810822022;;29,611;16,227;2640000000;24766000128;5,2037;BBB;0,8824;4,8994;;0,4195;3,3193;;;;;;;;;;;;;
CAESARS ENTERTAINMENT INC;Consumer Discretionary;1454599936;25824399360;0,056326574;;11,6453;16,1728;2024500032;36801500160;3,7823;A;0,9443;1,1637;1,152;6,7505;1,5154;;;;;;;;;;;;;
CARMAX INC;Consumer Discretionary;1385213952;5263363072;0,263180391;;24,3921;14,1189;1686710016;21239440896;7,7893;BBB;0,9491;0,2458;5,5883;1,5745;2,4084;;;;;;;;;;;;;
CARNIVAL CORP;Consumer Discretionary;10999688192;-1065478016;-10,32371201;;9,514;17,0972;982448992;7129624064;25,1607;BB;1,0909;;53,3248;1,5276;1,4253;;;;;;;;;;;;;
CHIPOTLE MEXICAN GRILL INC;Consumer Discretionary;-1756711936;27557707776;-0,063746664;;11,3109;14,4481;3841744032;36462746624;4,5071;BB;1,1488;1,1069;1,2923;5,1752;1,317;;;;;;;;;;;;;
DARDEN RESTAURANTS INC;Consumer Discretionary;7996000256;8173000192;0,978343334;;30,948;13,9302;4366000128;56420999168;6,3009;A;1,1871;3,2327;4,7153;1,1943;2,552;;;;;;;;;;;;;
DECKERS OUTDOOR CORP;Consumer Discretionary;1147995008;1432509056;0,80138761;;31,6958;13,1151;563741016;5326523008;-5,4653;AA;1,2738;21,8957;3,0721;2,3946;2,6989;;;;;;;;;;;;;
DOMINO'S PIZZA INC;Consumer Discretionary;5014336000;-3976637952;-1,260948585;;29,9285;21,3988;498687008;4665474048;3,2247;BBB;1,2787;2,4401;40,9616;1,7086;3,5361;;;;;;;;;;;;;
DR HORTON INC;Consumer Discretionary;2555000064;6352000000;0,402235526;;6,9554;13,1922;908000000;14168999936;1,2578;;1,2835;;8,5709;1,844;0,5506;;;;;;;;;;;;;
EBAY INC;Consumer Discretionary;-3420762112;7506547200;-0,455703804;;26,9128;30,3735;1257004992;5956843008;11,8019;A;1,4145;1,1703;1,6813;3,2999;6,832;;;;;;;;;;;;;
FORD MOTOR CO;Consumer Discretionary;978200000;2442299904;0,400524112;;19,6528;13,6037;943100000;6740099968;2,2222;;1,482;1,5518;1,8844;1,7227;2,1079;;;;;;;;;;;;;
GARMIN LTD;Consumer Discretionary;9804000256;3647000064;2,68823693;;22,0005;30,8725;1950000000;11316999936;31,9921;BBB;1,5558;;158,2632;0,9019;3,3849;;;;;;;;;;;;;
GENERAL MOTORS CO;Consumer Discretionary;5147387904;2288760064;2,248985372;;28,6352;12,6331;534539008;14769541888;-1,2683;AAA;1,5605;3,6922;3,1806;1,4849;2,057;;;;;;;;;;;;;
GENUINE PARTS CO;Consumer Discretionary;2968000000;5420000256;0,54760145;;14,7567;26,6693;1392000000;10265999872;2,0477;A;1,6794;1,2751;;1,2522;3,1676;;;;;;;;;;;;;
HASBRO INC;Consumer Discretionary;36114001920;-13418999808;-2,691258845;;22,9267;15,0223;7823000064;83722002432;-7,2014;AA;1,6838;;3,1864;1,1301;1,8578;;;;;;;;;;;;;
HILTON WORLDWIDE HOLDINGS IN;Consumer Discretionary;11603999744;-7673999872;-1,512118835;;28,0909;36,3089;1367000000;7223000064;2,3233;BBB;1,9235;2,3873;;1,3702;5,4343;;;;;;;;;;;;;
HOME DEPOT INC;Consumer Discretionary;1832000000;13944000512;0,131382669;;21,0591;12,0545;7210000128;50012000256;-0,3492;BB;2,0424;;3,255;2,356;2,3657;;;;;;;;;;;;;
LAS VEGAS SANDS CORP;Consumer Discretionary;62206001152;5785999872;10,75112384;;29,0211;15,946;16629999872;1,54596E+11;-1,0572;AA;2,1068;5,1216;4,403;1,1326;2,7363;;;;;;;;;;;;;
LENNAR CORP-A;Consumer Discretionary;1500300032;2981900032;0,50313559;;15,0945;19,4295;1186199968;6665500032;0,054;;2,2981;1,5669;1,7623;4,9334;2,1022;;;;;;;;;;;;;
LKQ CORP;Consumer Discretionary;22259900416;-7441600000;-2,991278813;;29,9095;23,7933;3318100000;36176200192;1,3904;A;2,4037;;14,7707;0,7549;3,1843;;;;;;;;;;;;;
LOWE'S COS INC;Consumer Discretionary;5417999872;6249999872;0,866879997;;12,5828;11,4397;748000000;14499000064;8,4767;AAA;3,0667;;2,8757;1,7207;0,7167;;;;;;;;;;;;;
LULULEMON ATHLETICA INC;Consumer Discretionary;4912096768;4710154240;1,042873867;;14,4183;7,1673;900982000;23302280192;1,1894;A;3,1528;;2,9602;1,1738;0,76;;;;;;;;;;;;;
MARRIOTT INTERNATIONAL -CL A;Consumer Discretionary;5123800064;2143699968;2,3901666;;19,9935;14,1712;1020500000;11416399872;5,7341;BBB;3,2004;1,5564;30,7888;0,3526;1,8285;;;;;;;;;;;;;
MCDONALD'S CORP;Consumer Discretionary;3422000128;3081999872;1,110318063;;13,6707;5,9608;1030000000;42225998848;-2,3059;AAA;4,2645;1,4967;4,2631;1,0007;0,4505;;;;;;;;;;;;;
MGM RESORTS INTERNATIONAL;Consumer Discretionary;2777200128;1309699968;2,120485757;;17,6049;26,8009;783200000;4322799872;-15,7244;;4,3825;0,5525;2,809;1,4719;2,0581;;;;;;;;;;;;;
MOHAWK INDUSTRIES INC;Consumer Discretionary;-7110000128;44338999296;-0,160355449;;6,4367;5,8901;6406000128;1,82743E+11;4,8873;BB;5,4054;0,7603;9,2826;1,1473;0,242;;;;;;;;;;;;;
NIKE INC -CL B;Consumer Discretionary;62583001088;2,59151E+11;0,241492413;;42,5406;21,3436;42952999424;6,20128E+11;11,9308;BBB;;;8,9485;1,0886;3,4581;;;;;;;;;;;;;
NORWEGIAN CRUISE LINE HOLDIN;Consumer Discretionary;8241999872;9198000128;0,896064335;;10,2306;15,3276;1143000000;19725000192;-0,2377;AA;;;6,4448;1,4969;0,7526;;;;;;;;;;;;;
NVR INC;Consumer Discretionary;12044884992;-4749614080;-2,5359713;;21,3085;24,0827;1931419968;18490268160;1,7726;A;;;1,4553;0,8385;2,9841;;;;;;;;;;;;;
O'REILLY AUTOMOTIVE INC;Consumer Discretionary;24597999616;4384000000;5,610857577;;;33,7509;-112000000;11271000064;-2,1954;;;;122,8409;0,8381;0,7322;;;;;;;;;;;;;
POOL CORP;Consumer Discretionary;18918666240;6179609088;3,061466506;;31,8008;4,2372;552888000;25902067200;-2,5141;AA;;;6,3978;2,2539;0,5136;;;;;;;;;;;;;
PULTEGROUP INC;Consumer Discretionary;28750999552;8597999616;3,343917287;;21,678;35,8536;1224000000;24480000512;8,5394;BB;;;31,6595;0,2956;1,2996;;;;;;;;;;;;;
RALPH LAUREN CORP;Consumer Discretionary;3116218880;3613897984;0,862287451;;56,0761;19,9603;1251117000;10984860928;15,1945;BBB;;;178,4643;1,6189;7,7443;;;;;;;;;;;;;
ROSS STORES INC;Consumer Discretionary;-967057984;2223238912;-0,434977086;;33,624;24,5853;856460000;4656732032;19,2533;AAA;;;2,6557;3,0849;6,3106;;;;;;;;;;;;;
ROYAL CARIBBEAN CRUISES LTD;Consumer Discretionary;2698905088;1953650048;1,381468032;;119,3284;10,9739;662933024;23312972800;9,9492;BBB;;;;1,0098;1,3766;;;;;;;;;;;;;
STARBUCKS CORP;Consumer Discretionary;-151222000;4031644928;-0,03750876;;23,0925;27,1522;1699436056;9989289984;11,186;AA;;;2,681;2,432;4,026;;;;;;;;;;;;;
TAPESTRY INC;Consumer Discretionary;29210718208;3854884096;7,577586636;;8,2834;26,8573;1331545984;17269545728;12,2791;BBB;;;66,7934;1,2433;0,6862;;;;;;;;;;;;;
TESLA INC;Consumer Discretionary;2167300096;7855699968;0,275888858;;13,7531;13,8102;499258000;10811977984;-2,8133;;;;3,1583;2,0287;0,8172;;;;;;;;;;;;;
TJX COMPANIES INC;Consumer Discretionary;13753109504;1135330048;12,11375452;;23,2587;33,1386;294387008;9356741120;15,764;;;;19,6445;0,1953;1,2438;;;;;;;;;;;;;
TRACTOR SUPPLY COMPANY;Consumer Discretionary;-1496123008;4271248128;-0,350277709;;18,7947;20,3331;1203151008;10111441152;3,201;A;;;3,5379;5,6764;2,856;;;;;;;;;;;;;
ULTA BEAUTY INC;Consumer Discretionary;7590929920;-1439064064;-5,274907567;;30,7176;25,639;1956295968;16444893184;5,2491;BBB;;;1,6813;0,6962;4,4403;;;;;;;;;;;;;
WYNN RESORTS LTD;Consumer Discretionary;-20864999424;70710001664;-0,295078475;;158,0466;16,1425;3617000064;97149999104;1,2781;BBB;;;5,6239;1,8438;10,9277;;;;;;;;;;;;;
YUM! BRANDS INC;Consumer Discretionary;1515037056;2348160000;0,645201799;;14,934;18,9098;989516976;11321166336;3,8522;AA;;;3,6397;1,7588;1,6007;;;;;;;;;;;;;
APA CORP;Energy;-533913984;1052131968;-0,50745914;;83,9328;76,6828;453651000;686696000;11,1799;BBB;0,391;;;12,3662;;;35,7431;;;;;;;;;;;
BAKER HUGHES CO;Energy;7646000128;11601999872;0,659024324;;16,3715;50,047;998000000;12712999936;21,8421;AAA;1,3628;0,6487;13,0274;1,2609;;16,0944;4,1789;;;;;;;;;;;
CHEVRON CORP;Energy;11407567872;20488318976;0,556783984;;38,579;20,4952;409439008;5962738048;10,1464;AA;1,3913;4,084;;0,512;;2,2176;1,3277;;;;;;;;;;;
CONOCOPHILLIPS;Energy;14208400384;4458500096;3,186811725;;33,8058;28,2284;320600000;16215700224;-0,9758;AA;1,4896;1,1822;25,3702;0,772;;11,6303;17,0827;;;;;;;;;;;
COTERRA ENERGY INC;Energy;25890000896;34934001664;0,741111801;;14,2901;50,2719;4641000128;27136999936;-7,3949;A;1,7488;1,0454;7,7473;1,0014;;7,5828;1,7894;;;;;;;;;;;
DEVON ENERGY CORP;Energy;3372000000;16343000064;0,206326867;;25,3726;17,487;1793000000;27299999744;11,0795;AA;1,9262;0,9131;4,2163;1,2954;;10,5555;2,6642;;;;;;;;;;;
DIAMONDBACK ENERGY INC;Energy;12552999936;38819000320;0,323372571;;10,3538;54,896;-5701000128;9535010048;16,9076;AA;2,0432;;49,449;0,4531;;7,4254;1,378;;;;;;;;;;;
EOG RESOURCES INC;Energy;6517000192;10352000000;0,629540204;;10,5038;20,0281;2404000000;23072999936;0,9273;A;2,133;2,1213;5,7167;2,2057;;15,6057;2,7186;;;;;;;;;;;
EQT CORP;Energy;8593000448;14478000128;0,59352123;;7,4664;49,2793;-568000000;15534999808;0,7981;A;2,3256;;39,9582;1,1122;;17,9042;1,7432;;;;;;;;;;;
EXXON MOBIL CORP;Energy;24252999680;25712001024;0,943256017;;13,221;6,2523;5326000064;1,41982E+11;-6,5521;BBB;2,3429;;13,229;1,2317;;10,971;2,6669;;;;;;;;;;;
HALLIBURTON CO;Energy;8461000192;22727999488;0,372272104;;12,8357;23,8782;5317999936;35995000832;12,4036;AA;2,5195;1,1035;6,4654;1,4805;;13,3279;2,8662;;;;;;;;;;;
HESS CORP;Energy;11512000512;49881001984;0,23078928;;13,0696;40,6641;9246000000;55238000640;-7,8906;AA;2,9053;1,765;28,5365;1,299;;13,3994;2,4778;;;;;;;;;;;
KINDER MORGAN INC;Energy;-1670000000;29574000640;-0,056468518;;11,0407;52,3051;5823000064;24088000000;3,1473;A;2,9303;;7,065;2,3071;;18,0155;2,5414;;;;;;;;;;;
MARATHON PETROLEUM CORP;Energy;5622000128;28829999104;0,195005213;;12,3533;3,6257;4801999936;1,34539E+11;-10,9591;AA;3,0889;;16,4627;1,5673;;9,3992;1,6818;;;;;;;;;;;
OCCIDENTAL PETROLEUM CORP;Energy;1519000064;13041999872;0,116469873;;16,2349;59,014;1124000000;5659000064;-14,2316;BBB;3,1484;;67,2909;1,6065;;8,2091;1,5066;;;;;;;;;;;
ONEOK INC;Energy;26346999808;14865000448;1,772418366;;28,4292;52,9212;3167000000;10544000000;-5,435;AA;3,268;3,2338;6,9982;0,5717;;6,7979;5,7375;;;;;;;;;;;
PHILLIPS 66;Energy;15623999488;2,764E+11;0,056526768;;13,6742;19,6681;32778000384;3,39877E+11;-1,8187;BBB;3,3656;;11,9529;1,348;;9,9021;1,9253;;;;;;;;;;;
SCHLUMBERGER LTD;Energy;18360999936;29784000512;0,616471918;;14,2091;1,793;3196000000;1,47738E+11;-1,1177;AA;3,4496;;23,0327;1,2126;;5,1016;1,9174;;;;;;;;;;;
TARGA RESOURCES CORP;Energy;27558000640;16887000064;1,631906232;;23,6775;27,9116;2723000000;19933000192;14,0721;AAA;3,5172;2,1711;17,3173;0,8085;;8,1792;3,8948;;;;;;;;;;;
TEXAS PACIFIC LAND CORP;Energy;21137999872;1,5703E+11;0,134611214;;16,4202;18,7487;18759999744;1,94013E+11;-4,1925;A;4,022;2,1543;16,0772;1,0691;;7,8288;1,8651;;;;;;;;;;;
VALERO ENERGY CORP;Energy;31922999296;31746000896;1,005575455;;26,2062;43,309;4141000000;15151000064;-4,5606;AAA;4,0969;2,5032;18,6159;0,4602;;5,4718;2,0509;;;;;;;;;;;
WILLIAMS COS INC;Energy;6504000000;6160000000;1,055844156;;5,4861;13,3677;890000000;9169999872;5,2571;A;4,4405;;;1,2376;;30,1571;1,629;;;;;;;;;;;
AFLAC INC;Financials;2471000064;24829999104;0,09951672;;16,0228;;3207000000;17300000000;-8,3201;A;1,7528;1,4405;;;;;2,5583;8,1174;72,5896;;;;;;;;;
ALLSTATE CORP;Financials;7266999808;20838000640;0,348737863;;13,0565;;8200999936;62432000000;11,6652;A;1,7675;0,0739;;;;;2,9305;;;;;;;;;;;
AMERICAN EXPRESS CO;Financials;7085000192;29706999808;0,238495985;;22,3878;30,8004;13198999808;72729999360;11,8923;AA;0,9203;1,3624;;;;;7,2102;2,9756;71,2625;;;;;;;;;
AMERICAN INTERNATIONAL GROUP;Financials;8582000128;45072998400;0,190402246;;11,3835;;4501000000;35632999424;-4,5817;BBB;2,0742;0,9139;;;;;1,0795;;;;;;;;;;;
AMERIPRISE FINANCIAL INC;Financials;-7104000000;5714999808;-1,243044661;;16,651;33,6753;8187000064;17360000256;10,4888;A;1,0351;0,939;;;;;9,729;;;;;;;;;;;
